Fire#,X,Y,Z,oriX,oriY
361,53550.0,81600.0,3179.94093358003,1050,1600
362,56100.0,81600.0,4003.4414721484463,1100,1600
363,58650.0,81600.0,5699.96810827445,1150,1600
364,61200.0,81600.0,6016.344378629328,1200,1600
365,63750.0,81600.0,6592.89858775237,1250,1600
366,66300.0,81600.0,7208.302779601876,1300,1600
367,68850.0,81600.0,7328.975916519052,1350,1600
368,71400.0,81600.0,7237.14360343201,1400,1600
369,73950.0,81600.0,5650.365158881446,1450,1600
370,76500.0,81600.0,4403.345635311907,1500,1600
371,79050.0,81600.0,2779.0650909017186,1550,1600
372,81600.0,81600.0,896.7326940954626,1600,1600
373,84150.0,81600.0,-1054.2578893153623,1650,1600
374,86700.0,81600.0,-3991.780495912213,1700,1600
375,89250.0,81600.0,-6514.845243957261,1750,1600
376,91800.0,81600.0,-7444.010555431966,1800,1600
377,94350.0,81600.0,-7393.887370546498,1850,1600
378,96900.0,81600.0,-7286.524308222664,1900,1600
379,99450.0,81600.0,-5300.770385354689,1950,1600
380,51000.0,84150.0,1451.2585846595139,1000,1650
381,53550.0,84150.0,2728.522707995464,1050,1650
382,56100.0,84150.0,4651.465719215488,1100,1650
383,58650.0,84150.0,6128.440079121174,1150,1650
384,61200.0,84150.0,7902.46675549019,1200,1650
385,63750.0,84150.0,8650.412762578737,1250,1650
386,66300.0,84150.0,8721.753816516339,1300,1650
387,68850.0,84150.0,7738.3066608166155,1350,1650
388,71400.0,84150.0,5987.013415574889,1400,1650
389,73950.0,84150.0,3580.563107712427,1450,1650
390,76500.0,84150.0,2598.4208402107433,1500,1650
391,79050.0,84150.0,1689.6640231480378,1550,1650
392,81600.0,84150.0,1466.3110182059227,1600,1650
393,84150.0,84150.0,135.33580487325708,1650,1650
394,86700.0,84150.0,-2880.998179364964,1700,1650
395,89250.0,84150.0,-6383.651311585055,1750,1650
396,91800.0,84150.0,-7609.888287124045,1800,1650
397,94350.0,84150.0,-7501.768518629355,1850,1650
398,96900.0,84150.0,-7642.838326424611,1900,1650
399,99450.0,84150.0,-5860.9060053302455,1950,1650
